wagnum,month,target_month,target_day
33361,2023-03-01,1,1
33364,2023-03-01,1,1
33366,2023-03-01,1,1
33358,2023-03-01,1,1
33349,2023-03-01,1,1
33354,2023-03-01,1,0
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33355,2023-03-01,1,1
33356,2023-03-01,1,1
33370,2023-03-01,1,1
33373,2023-03-01,1,1
33375,2023-03-01,1,1
29889,2023-03-01,1,1
29890,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29894,2023-03-01,1,1
29895,2023-03-01,1,1
29896,2023-03-01,1,0
29898,2023-03-01,1,1
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29904,2023-03-01,1,0
29906,2023-03-01,1,1
29907,2023-03-01,0,0
29914,2023-03-01,1,1
29916,2023-03-01,1,0
29923,2023-03-01,1,1
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
29928,2023-03-01,1,0
